pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
l3---h11	0	2	1	0	0	0	0	0	0	0	0	0	0
l3---h2	1	1	0	0	0	0	0	0	0	0	0	0	0
l3---h4	0	0	0	0	0	0	0	0	1	0	0	0	0
l3---h5	0	6	4	4	1	0	0	0	0	0	0	0	0
l3---h6	9	32	24	10	5	1	1	1	0	0	0	0	0
l3---h7	28	59	47	23	25	8	0	1	2	0	0	0	0
l3---h8	22	72	53	29	15	4	2	2	2	0	0	0	0
l3---h9	12	22	8	12	7	3	1	0	0	0	0	0	0
l3---s0.5	5	11	6	0	1	0	0	0	0	0	0	0	0
l3---s1	6	15	4	1	0	0	0	0	0	0	0	0	0
l3---w0.5	30	47	37	21	24	11	2	2	0	1	1	0	0
l3---w1	16	28	26	14	5	6	7	3	1	0	0	0	0
l3---w2	10	13	20	6	4	3	0	2	0	0	0	0	0
l3---w4	19	23	9	9	1	3	1	2	0	0	0	0	0
l3---w5	9	21	9	8	8	4	2	0	1	1	1	0	0
l3---w6	0	5	6	2	3	1	1	0	0	0	0	0	0
l3---w7	3	10	3	5	2	2	1	1	0	0	0	0	0
l4---h10	0	5	2	1	1	1	1	0	0	0	0	0	0
l4---h2	4	13	8	1	0	0	0	0	0	0	0	0	0
l4---h4	0	0	1	0	0	0	0	0	0	0	0	0	0
l4---h5	1	2	2	0	0	0	0	0	0	0	0	0	0
l4---h6	6	16	19	8	1	3	1	0	1	1	0	0	0
l4---h7	9	45	35	22	10	7	1	0	1	0	0	0	0
l4---h8	15	33	25	26	14	7	6	3	1	0	1	0	0
l4---h9	6	14	8	8	5	0	0	1	0	0	0	0	0
l4---s1	6	17	6	0	1	1	0	1	0	0	0	0	0
l4---w0.5	79	123	61	20	17	14	3	3	1	0	0	0	1
l4---w10	4	5	2	7	1	0	0	0	1	0	0	0	0
l4---w2	4	4	3	5	1	0	1	0	0	0	0	0	0
l4---w3	5	4	5	2	4	3	1	1	0	0	0	0	0
l4---w4	2	11	5	2	1	1	0	0	0	0	0	1	0
l4---w5	9	6	5	1	0	0	0	0	0	0	0	0	0
l4---w8	1	6	4	3	5	1	0	0	0	0	0	0	0
l5---h10	0	2	1	1	1	0	1	0	0	0	0	0	0
l5---h5	1	4	1	0	1	0	0	0	0	0	0	0	0
l5---h6	3	5	10	7	5	1	2	0	1	0	0	0	0
l5---h7	8	18	20	14	14	5	1	1	0	0	0	0	0
l5---h8	7	16	24	12	7	3	1	3	0	0	0	0	0
l5---h9	2	6	9	2	0	0	0	1	0	0	0	0	0
l5---s0.5	10	23	11	2	3	0	0	0	0	0	0	0	0
l5---w2	2	5	7	2	4	0	0	0	0	0	0	0	0
l5---w3	3	5	4	2	0	2	2	0	0	0	0	0	0
l5---w5	1	8	5	2	2	0	0	0	0	0	0	0	0
l6---h6	0	2	4	2	2	0	0	0	0	0	0	0	0
l6---h7	5	4	12	7	6	1	0	0	0	0	0	0	0
l6---h8	4	10	7	7	3	1	0	1	0	0	0	0	0
l6---h9	2	7	3	2	0	0	1	0	0	0	0	0	0
l6---w0.5	6	16	6	1	5	0	0	0	0	0	0	0	0
l6---w10	1	5	7	2	2	2	0	0	0	0	0	0	0
l7---h10	0	1	0	0	0	0	0	0	0	0	0	0	0
l7---h5	0	1	0	0	0	0	0	0	0	0	0	0	0
l7---h6	0	5	1	0	0	0	0	0	0	0	0	0	0
l7---h7	0	3	8	3	3	1	0	0	0	0	0	0	0
l7---h8	4	2	3	6	0	1	0	1	0	0	0	0	0
l7---h9	0	2	0	0	0	0	0	0	0	0	0	0	0
l7---w0.5	2	5	8	1	2	0	1	1	0	0	0	0	0
l8---h6	0	1	1	0	0	1	0	0	0	0	0	0	0
l8---h7	0	2	0	2	2	0	0	1	0	0	0	0	0
l8---h8	0	1	3	2	3	0	0	1	0	0	0	0	0
l8---h9	1	0	0	1	0	0	0	0	0	0	0	0	0
l8---w5	1	7	7	3	1	0	0	0	0	0	0	0	0
s0.5---e1	1	3	2	1	0	0	0	0	0	0	0	0	0
s0.5---h1	9	30	15	9	2	4	1	0	0	1	0	0	0
s0.5---h10	4	6	5	4	1	0	0	0	0	0	0	0	0
s0.5---h3	6	14	4	3	0	1	0	0	0	0	0	0	0
s0.5---h4	5	8	4	1	0	1	0	0	0	0	0	0	0
s0.5---h5	12	20	15	3	3	1	0	1	1	0	0	0	0
